path,tip,status,indexability,indexability_status,word_count,sentence_count,avg_words_sentence,flesch,text_ratio,size_bytes,crawl_depth,folder_depth,inlinks,unique_inlinks,outlinks,unique_outlinks,external_outlinks,title_len,title_px,metadesc_len,metadesc_px,h1_len,canonical_self,meta_robots,response_time,gsc_clicuri_3luni,gsc_expuneri_3luni
/servicii/cazier-judiciar-online/giurgiu/,locatie-cazier,200,Non-Indexable,noindex,1394,215,6.484,36.334,3.59,328991,2,3,49,49,142,103,7,71,624,162,954,59,da,"noindex, follow",0.454,0,0
/servicii/cazier-judiciar-online/iasi/,locatie-cazier,200,Indexable,,1434,240,5.975,36.703,3.602,332022,2,3,49,49,142,103,7,65,558,156,908,56,da,"index, follow",0.07,6,510
/servicii/cazier-judiciar-online/ilfov/,locatie-cazier,200,Non-Indexable,noindex,1425,229,6.223,37.434,3.594,332675,2,3,49,49,142,103,7,67,572,158,918,57,da,"noindex, follow",0.633,0,0
/servicii/cazier-judiciar-online/lugoj/,locatie-cazier,200,Non-Indexable,noindex,1322,196,6.745,34.821,3.519,320701,2,3,49,49,142,103,5,67,595,158,932,57,da,"noindex, follow",0.414,0,0
/servicii/cazier-judiciar-online/medias/,locatie-cazier,200,Non-Indexable,noindex,1327,197,6.736,33.093,3.536,320928,2,3,49,49,142,103,5,68,605,159,939,58,da,"noindex, follow",0.405,0,0
/servicii/cazier-judiciar-online/miercurea-ciuc/,locatie-cazier,200,Non-Indexable,noindex,1410,231,6.104,35.58,3.601,333095,2,3,49,49,142,103,7,79,707,170,1011,66,da,"noindex, follow",0.377,0,0
/servicii/cazier-judiciar-online/onesti/,locatie-cazier,200,Non-Indexable,noindex,1325,196,6.76,33.136,3.534,320946,2,3,49,49,142,103,5,68,609,159,944,58,da,"noindex, follow",0.437,0,0
/servicii/cazier-judiciar-online/oradea/,locatie-cazier,200,Non-Indexable,noindex,1431,227,6.304,35.67,3.606,332967,2,3,49,49,142,103,7,68,607,159,943,58,da,"noindex, follow",0.452,0,0
/servicii/cazier-judiciar-online/persoana-fizica/,variant-serviciu,200,Indexable,,2275,486,4.681,48.205,3.063,557883,1,3,516,232,87,54,7,62,562,215,1287,38,da,"index, follow",0.061,8,667
/servicii/cazier-judiciar-online/persoana-juridica/,variant-serviciu,200,Indexable,,2235,490,4.561,45.232,3.025,563729,1,3,515,232,89,54,7,72,652,200,1196,48,da,"index, follow",0.067,1,496
/servicii/cazier-judiciar-online/piatra-neamt/,locatie-cazier,200,Indexable,,1431,232,6.168,39.237,3.6,333086,2,3,49,49,142,103,7,74,677,165,989,64,da,"index, follow",0.071,26,537
/servicii/cazier-judiciar-online/pitesti/,locatie-cazier,200,Non-Indexable,noindex,1423,231,6.16,36.555,3.611,331545,2,3,49,49,142,103,7,69,606,160,939,59,da,"noindex, follow",0.433,0,0
/servicii/cazier-judiciar-online/ploiesti/,locatie-cazier,200,Non-Indexable,noindex,1404,234,6.0,36.787,3.579,332686,2,3,49,49,142,103,7,72,637,163,962,60,da,"noindex, follow",0.487,0,0
/servicii/cazier-judiciar-online/ramnicu-valcea/,locatie-cazier,200,Indexable,,1409,224,6.29,38.636,3.606,331554,2,3,49,49,142,103,7,77,701,168,1006,66,da,"index, follow",0.077,15,476
/servicii/cazier-judiciar-online/resita/,locatie-cazier,200,Non-Indexable,noindex,1395,229,6.092,33.332,3.576,332761,2,3,49,49,142,103,7,76,677,167,989,58,da,"noindex, follow",0.546,0,0
/servicii/cazier-judiciar-online/satu-mare/,locatie-cazier,200,Indexable,,1437,229,6.275,38.448,3.59,332856,2,3,49,49,142,103,7,75,680,166,992,61,da,"index, follow",0.063,5,290
/servicii/cazier-judiciar-online/sebes/,locatie-cazier,200,Non-Indexable,noindex,1333,196,6.801,34.984,3.528,320771,2,3,49,49,142,103,5,66,591,157,929,57,da,"noindex, follow",0.428,0,0
/servicii/cazier-judiciar-online/sfantu-gheorghe/,locatie-cazier,200,Non-Indexable,noindex,1417,234,6.056,39.131,3.601,332845,2,3,49,49,142,103,7,79,724,170,1025,67,da,"noindex, follow",0.39,0,0
